DepartureCode,ArrivalCode,LowestPriceUSD,AveragePriceUSD,CheapestMonth
PHL,ASE,635.207,635,December,
BHM,ASE,561.711,562,December,
LGB,ASE,759.05,904,October,
YYZ,ATH,656.177,849,October,
YTZ,ATH,770.042,1129,April,
BUF,ATH,1125,1350,November,
YKF,ATH,803.474,1345,October,
MCO,ATH,622.41,934,November,
YUL,ATH,736.705,923,November,
PHL,ATH,941.3,1100,November,
MIA,ATH,684.69,1076,February,
FLL,ATH,718.22,1052,February,
TPA,ATH,986.584,1132,November,
LAX,ATH,782,916,February,
DTW,ATH,1175.9,1207,April,
ORD,ATH,826.35,1093,November,
MSP,ATH,1198.05,1266,November,
IAD,ATH,812.09,924,March,
BOS,ATH,936.27,936,May,
DCA,ATH,811.303,1001,March,
BRS,ATH,209.02,275,November,
PHX,ATH,1051.49,1286,May,
TOL,ATH,1229.46,1348,October,
PBI,ATH,1055.46,1085,February,
BHD,ATH,127.274,294,October,
CMH,ATH,1177.06,1177,October,
EWR,ATH,808.889,1060,March,
JFK,ATH,808.177,966,November,
LGA,ATH,820.962,1108,March,
IAH,ATH,997,1308,September,
BWI,ATH,1168.29,1280,March,
SNA,ATH,1145.92,1314,February,
YQG,ATH,883.601,969,October,
SFO,ATH,1188.6,1189,March,
LAS,ATH,1609.21,1609,June,
YYC,ATH,1175.8,1176,May,
BUR,ATH,1228.2,1601,November,
OMA,ATH,1381.97,1382,June,
CPT,ATH,667.269,667,December,
HOU,ATH,1862.24,1862,December,
MHT,ATH,1368.64,1369,May,
ARN,ATH,287.49,287,December,
LGW,ATH,44.7112,77,November,
LHR,ATH,76.48,103,November,
